日付,銘柄名,symbol,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20201230,ヨシムラ・Ｆ・ＨＤ,2884,食料品,0.00%,TOPIX Small 2,
20201230,日清食ＨＤ,2897,食料品,0.15%,TOPIX Mid400,
20201230,永谷園ＨＤ,2899,食料品,0.00%,TOPIX Small 2,○
20201230,一正蒲鉾,2904,食料品,0.00%,TOPIX Small 2,○
20201230,フジッコ,2908,食料品,0.01%,TOPIX Small 2,
20201230,ロックフィルド,2910,食料品,0.01%,TOPIX Small 1,
20201230,ＪＴ,2914,食料品,0.45%,TOPIX Large70,
20201230,ケンコーマヨ,2915,食料品,0.00%,TOPIX Small 2,
20201230,わらべや,2918,食料品,0.00%,TOPIX Small 2,
20201230,なとり,2922,食料品,0.00%,TOPIX Small 2,
20201230,イフジ産業,2924,食料品,0.00%,TOPIX Small 2,○
20201230,ピックルスコーポ,2925,食料品,0.00%,TOPIX Small 2,
20201230,北の達人,2930,食料品,0.01%,TOPIX Small 1,
20201230,ユーグレナ,2931,食料品,0.01%,TOPIX Small 1,
20201230,スター・マイカＨＤ,2975,不動産業,0.00%,TOPIX Small 2,
20201230,ＳＲＥＨＤ,2980,不動産業,0.00%,,
20201230,ＡＤワークスグループ,2982,不動産業,0.00%,TOPIX Small 2,
20201230,片倉,3001,繊維製品,0.01%,TOPIX Small 2,
20201230,グンゼ,3002,繊維製品,0.01%,TOPIX Small 1,
20201230,ヒューリック,3003,不動産業,0.09%,TOPIX Mid400,
20201230,神栄,3004,卸売業,0.00%,TOPIX Small 2,
20201230,ラサ商事,3023,卸売業,0.00%,TOPIX Small 2,
20201230,アルペン,3028,小売業,0.01%,TOPIX Small 1,
20201230,ハブ,3030,小売業,0.00%,TOPIX Small 2,
20201230,ラクーンＨＤ,3031,情報・通信業,0.00%,TOPIX Small 2,
20201230,クオールＨＤ,3034,小売業,0.01%,TOPIX Small 1,
20201230,アルコニックス,3036,卸売業,0.01%,TOPIX Small 1,
20201230,神戸物産,3038,卸売業,0.09%,TOPIX Mid400,
20201230,ソリトンシステムズ,3040,情報・通信業,0.00%,TOPIX Small 2,
20201230,ＪＩＮＳＨＤ,3046,小売業,0.01%,TOPIX Small 1,
20201230,ビックカメラ,3048,小売業,0.03%,TOPIX Small 1,
20201230,ＤＣＭ,3050,小売業,0.03%,TOPIX Small 1,
20201230,ペッパー,3053,小売業,0.00%,TOPIX Small 2,
20201230,ハイパー,3054,卸売業,0.00%,TOPIX Small 2,○
20201230,ＭＲＯ,3064,小売業,0.15%,TOPIX Mid400,
20201230,東京一番フーズ,3067,小売業,0.00%,TOPIX Small 2,
20201230,ＤＤホールディングス,3073,小売業,0%,TOPIX Small 2,
20201230,あいＨＤ,3076,卸売業,0.01%,TOPIX Small 1,
20201230,ＤＶｘ,3079,卸売業,0.00%,TOPIX Small 2,
20201230,きちりＨＤ,3082,小売業,0.00%,TOPIX Small 2,
20201230,ＡＬサービスＨＤ,3085,小売業,0.01%,TOPIX Small 1,
