,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average,Last Asset,Max Drawdown
ADP,34,67.96,6.963970408586451,-5.553708270665015,18.491759650255048,-10.179991862998817,1.2539316199539172,0.5882352941176471,1.679555850977996,0.26004075021988526
BIDU,38,26.5,31.357672588309455,-6.080101569579319,65.76291632015052,-9.153591272797945,5.157425781372117,0.21052631578947367,1.2650386820039508,0.5869042709196972
BIIB,37,32.96,14.617921951426878,-6.527135104073083,42.187505021043556,-13.002475438493644,2.239561724761137,0.3783783783783784,1.3295673871300342,0.6260684429776202
BKNG,39,-30.1,13.653020447785016,-6.612489672925905,32.21827544106202,-12.372562545175159,2.0647322148094647,0.3076923076923077,0.6990391732073775,0.745844937128636
AVGO,41,73.72,13.282221357139713,-6.179176770768824,25.760336069614432,-8.249785472011206,2.149513090477118,0.4146341463414634,1.7372122363637794,0.41799138341406505
CDNS,41,26.73,11.163600217987122,-6.098258881216783,35.23588817087915,-8.609912634445593,1.8306209092519954,0.4146341463414634,1.2673373244418213,0.34927619789578856
CDW,25,112.71,8.830370788471662,-4.883262188929696,16.383878696254463,-7.806531260869798,1.808293400360525,0.6,2.127114422122626,0.18515522190110556
CDW,25,112.71,8.830370788471662,-4.883262188929696,16.383878696254463,-7.806531260869798,1.808293400360525,0.6,2.127114422122626,0.18515522190110556
CERN,34,38.46,9.715772823102945,-6.1344382467107454,16.695423876333628,-11.672530352043564,1.5838080737567932,0.47058823529411764,1.3845953062993093,0.34353887064988575
CHTR,37,225.7,14.081791449149351,-5.865760502144947,32.035624419848105,-10.467170424208938,2.400676168759367,0.4864864864864865,3.256963356190199,0.24373749239961795
CHKP,31,40.49,8.42836129968548,-6.071149079546746,14.635385084141529,-11.07561689162756,1.3882645919666194,0.5161290322580645,1.4049036002069422,0.22729507503042146
CTAS,42,173.17,8.301217455708272,-6.2085162964715215,28.00781377698016,-8.878234502623473,1.3370694477239422,0.6190476190476191,2.731722293093804,0.27412581179645257
CSCO,35,1.42,9.032288674455975,-6.853539570889469,17.016095480579608,-15.241651627187224,1.3179012948025837,0.45714285714285713,1.0141859729890181,0.3051596594899526
CTSH,35,18.79,11.678954526258774,-6.241200315082644,19.368552586744812,-12.432329310710644,1.871267374327838,0.4,1.187878085557523,0.2664402573731883
CMCSA,37,42.48,8.465295477193948,-5.568269457224339,22.725414517483244,-7.875892652798311,1.5202740352679902,0.4864864864864865,1.4247932251161455,0.30801868498980534
CPRT,39,251.74,11.013458711258725,-5.679911682846259,28.973766229848017,-7.895334523200859,1.9390193591425304,0.5641025641025641,3.5173798366836526,0.29296310169316864
COST,33,158.35,8.469275460397657,-4.9579411119897925,17.66252345500505,-6.640473507845346,1.7082242949429962,0.6060606060606061,2.5835240962019794,0.1760874107403423
CSX,39,27.76,10.1345074431362,-6.024811621255224,23.62541182398634,-8.161675171439564,1.6821285179078767,0.4358974358974359,1.277616955523895,0.48608643124063666
DXCM,37,466.99,24.497592465594753,-6.619818768834136,43.32971612859022,-15.97092292761877,3.7006439784920575,0.40540540540540543,5.669912949335154,0.34274592515093183
DOCU,11,130.8,35.16746458484244,-8.451638717095774,103.2457199235258,-11.733296206873234,4.161023176926213,0.45454545454545453,2.3079680305109744,0.3678717520659689
DLTR,34,92.29,10.685501502077942,-5.141614695727771,20.9786422433732,-6.932351884136645,2.078238478460211,0.47058823529411764,1.9228588059681004,0.2925196879739246
EBAY,31,98.27,14.52753849226356,-6.382565987940777,48.69547801931731,-8.546719927801172,2.276128209204871,0.45161290322580644,1.982708902059884,0.3750546067464169
EA,32,122.47,11.511022248542687,-6.567506302304135,22.956023223701628,-9.912187742103228,1.7527234415449553,0.53125,2.224650996972742,0.2851764163534518
EXC,30,-7.69,9.61380087739744,-6.240309847331322,25.29173158426925,-11.059088169418828,1.5405967191691283,0.4,0.9230637672127305,0.34885742084899307
FB,30,102.9,14.420365706695147,-6.756984161874442,44.09195995944608,-10.68125204766508,2.134142297988578,0.4666666666666667,2.029032367267379,0.2872389252501414
FAST,34,11.7,10.116811980175177,-6.625624190927946,22.890034761669597,-9.199692834764683,1.5269220964913006,0.4411764705882353,1.116993455982208,0.4064582580764772
