,trades,Total return,Average Gain,Average Loss,Max Return,Max Loss,Gain/Loss Ratio,Batting Average
CMCSA,13,32.37,9.29111320629509,-5.237831309913319,20.76121823031545,-12.350897229070402,1.77384735333312,0.5384615384615384
COST,12,119.25,15.021368741266025,-3.2429576915641944,38.13099948978436,-6.693383391838736,4.631996519825297,0.5833333333333334
CSCO,13,31.4,11.875656541173457,-5.0378289178495725,37.82865025146478,-9.376961676968133,2.357296513007165,0.46153846153846156
CSX,13,52.67,31.432542458782436,-6.2049229701828015,79.49881722070593,-12.658929156637766,5.065742574054293,0.3076923076923077
CTAS,8,273.77,38.25605366752196,-6.804668266746823,71.97144969208043,-16.125315297876487,5.622030665987399,0.625
CTSH,11,-44.19,14.194566666837316,-8.479151180140256,19.74974656851407,-31.20233349917144,1.6740551460013617,0.18181818181818182
CTXS,12,34.52,9.831960849919351,-6.607625069501511,20.584031728558294,-8.436628365914878,1.487971963678788,0.5833333333333334
DLTR,12,2.19,23.35703434082755,-6.262557870383144,41.07048187998388,-14.896738120377629,3.7296316975029504,0.25
EA,11,56.36,11.888809399482737,-3.773785908485727,38.23418356619182,-8.957688030945498,3.1503666842227553,0.5454545454545454
EBAY,16,21.46,14.34955484293638,-5.572071677445719,33.45110231769362,-17.253743933730647,2.575263864788316,0.375
EXPE,17,-42.7,13.868021531161626,-9.05596745420289,27.065709409864724,-25.84581023119814,1.5313683050755063,0.29411764705882354
FAST,15,-9.06,12.178291224398132,-6.2352836339670645,26.05507715355353,-11.345662494382136,1.9531254613753564,0.3333333333333333
FB,10,119.05,14.180488056102671,-2.810107549329658,38.99068210051411,-6.845841890932314,5.046243891798867,0.7
FISV,12,67.72,8.282029985141776,-2.679258228425743,17.125324051744695,-5.980929379715471,3.091165270026273,0.6666666666666666
FOXA,4,-15.77,0.19801229082252458,-5.562349739264175,0.19801229082252458,-8.2855076595306,0.03559867683701582,0.25
GILD,17,-19.26,5.983310726231849,-4.856802474751472,17.228468013767205,-11.758442729136764,1.2319444237925328,0.35294117647058826
GOOG,12,75.06,8.891563718805308,-6.429053932891404,17.77672870589784,-11.128412078131621,1.3830283291473984,0.75
GOOGL,11,80.52,8.010678636541464,-4.66690234538239,17.45676227077968,-5.77074670699197,1.7164873065037525,0.8181818181818182
HAS,12,-7.07,9.425293382507467,-7.02501775258969,15.755671829290186,-17.401709554888868,1.3416753828177792,0.4166666666666667
HSIC,12,27.06,9.26422435778564,-7.0420350680361565,17.990008218226382,-14.038319380222397,1.315560667943279,0.5833333333333334
HOLX,17,4.8,8.120681326691761,-4.618578681865907,26.74157292863306,-10.087393239670527,1.7582641513884534,0.4117647058823529
IDXX,9,332.89,40.01491486630063,-5.03298326474067,58.265513797620414,-7.5198738319174225,7.950536046211638,0.5555555555555556
ILMN,12,15.62,11.80086712139063,-7.975491855450573,26.784736419969256,-15.105126015136472,1.4796412980254925,0.5
INCY,18,-16.13,7.624698781964022,-5.726624198986526,34.26156943645897,-13.551054259010675,1.3314473792978085,0.3888888888888889
INTC,12,-0.23,6.883683781229775,-4.3444782944547615,25.08494509237704,-11.741981923151135,1.584467297262372,0.4166666666666667
INTU,11,118.89,13.521001721631317,-5.000563647855172,53.46339613763267,-10.428677953110155,2.7038955353424425,0.7272727272727273
ISRG,9,155.61,28.010302260661184,-5.61893500727551,64.14258247559832,-8.220894514577203,4.98498420508386,0.5555555555555556
JBHT,12,69.28,12.848327878312444,-2.917775389083103,29.622910224072953,-6.643166222372976,4.403467081936684,0.5
JD,14,225.99,30.424927952153148,-7.141696464823134,80.80717970526246,-18.536365686557556,4.260182171282833,0.5
KHC,12,-21.26,11.153699591130023,-9.661311951260279,14.852873940991419,-31.822994352004752,1.1544704950423497,0.4166666666666667
KLAC,13,39.57,19.95709896990137,-6.27896093729715,45.328319599927916,-12.739409127755529,3.1784078877375737,0.38461538461538464
LBTYB,12,-48.02,4.149630751626737,-9.227676331694191,6.916160039106356,-30.31250238418579,0.44969400772912344,0.3333333333333333
LBTYA,10,-22.19,1.7464307913812371,-4.092216456344928,3.7238350035119216,-13.195437382780373,0.4267689185095327,0.3
LBTYK,10,-11.15,2.2928264480201577,-5.992280760395557,4.941374854392944,-11.964548671515473,0.38263001012469344,0.6
LULU,12,171.94,23.692587204458164,-4.852524846060366,107.7351591098465,-8.137223971180918,4.882527747115718,0.5833333333333334
LILA,13,-52.41,5.384636662925691,-7.281064996674874,10.714291960773782,-15.202378173400854,0.739539705439349,0.15384615384615385
LILAK,13,-39.3,3.9731418568269,-6.871718255561692,8.86939402642961,-15.207820555831741,0.578187537536365,0.3076923076923077
LRCX,11,81.61,28.747437949117256,-9.115996789189813,75.52281699435632,-14.709945356258325,3.1535155851752106,0.45454545454545453
MAR,14,102.13,16.196741833049522,-4.304528507943343,37.38125958297649,-10.765617724046717,3.7627214695316655,0.5
